城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","天河区","java架构师","22k-35k","经验5-10年 / 本科","极点三维","""软件服务｜咨询","居住服务 / 不需要融资 / 500-2000人""",""
"广州","天河区","Java开发工程师（中高级）","16k-26k","经验不限 / 本科","广东博众智能科技投资有限公司","金融业 / 不需要融资 / 500-2000人","","“双休 年终奖 团队氛围好”"
"广州","天河区","Java 架构师","12k-16k","经验1-3年 / 本科","爱洁集团","能源｜矿产｜环保 / 不需要融资 / 500-2000人","","""“五险一金"
"广州","天河区","深圳java开发（年终奖2-4个月，双休）","15k-30k","经验不限 / 本科","科锐国际","""专业服务｜咨询","MCN｜直播平台 / 上市公司 / 2000人以上""",""
"广州","天河区","Java开发工程师","15k-18k","经验3-5年 / 本科","好莱客","消费生活 / 不需要融资 / 500-2000人","","""“五险一金"
"广州","天河区","中级java开发工程师","10k-15k","经验1-3年 / 本科","消费者报道杂志社","文化传媒 / 不需要融资 / 15-50人","","“双休 五险一金 年度体检 带薪年假 节日福利”"
"广州","天河区","Java开发工程师+双休高薪","10k-20k","经验1-3年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“领域领头企业，实力背景雄厚，”"
"广州","天河区","中高级java开发+双休+高薪","15k-18k","经验3-5年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“五险一金 双休 高薪 餐补 房补”"
"广州","天河区","java后端开发工程师","17k-22k","经验3-5年 / 本科","优聚大鱼","软件服务｜咨询 / 天使轮 / 50-150人","","“升职加薪快，发展潜力好”"
"广州","天河区","java开发工程师（珠海工行+线上面试）","15k-20k","经验3-5年 / 本科","中电金信","""IT技术服务｜咨询","软件服务｜咨询 / B轮 / 2000人以上""",""
"广州","天河区","java开发工程师（英语流利）","18k-23k","经验3-5年 / 本科","信必优Symbio(深圳)","""IT技术服务｜咨询","专业服务｜咨询","软件服务｜咨询 / 未融资 / 2000人以上"""
"广州","天河区","Java web工程师","15k-25k","经验3-5年 / 本科","中望软件","""软件服务｜咨询","IT技术服务｜咨询 / 上市公司 / 500-2000人""",""
"广州","天河区","Java开发工程师(JE98V)","20k-30k","经验5-10年 / 本科","益世界","游戏 / 未融资 / 500-2000人","","“五险一金 包餐 团建 下午茶 年度体检”"
"广州","天河区","初中级JAVA开发工程师","12k-19k","经验3-5年 / 本科","江融信","科技金融 / B轮 / 500-2000人","","“规模大 长期稳定”"
"广州","天河区","中级java开发工程师","10k-18k","经验3-5年 / 本科","广西正安","""教育","软件开发 / 不需要融资 / 50-150人""",""
